Parlor name,Phone number,Address
Feng Shui Relaxation Center,318-865-1577,"3314 Youree Dr; Shreveport, LA, 71105"
Art Foot Spa & Massage,469-666-5298,"6850 N Shiloh Rd; Garland, TX, 75044"
Tropical Healing Center,714-814-1117,"11770 Warner Ave. Suite 104; Fountain Valley, CA, 92708"
Zen Foot Spa,562-866-6032,"17149 Bellflower Blvd; Bellflower, CA, 90706"
Green Life #3,484-876-1772,"2 N Five Points Road; West Chester, PA, 19380"
Oriental Oasis Massage,760-736-8889,"1635 Lake San Marcos Dr #106; San Marcos, CA, 92078"
Sunshine Foot Spa,916-451-0888,"5001 Freeport Blvd.; Sacramento, CA, 95822"
Elite Acupuncture,949 563-0880,"23331 El Toro Rd; Lake Forest, CA, 92630"
Green Island Massage,915-222-8256,"8838 Viscount Blvd #K; El Paso, TX, 79925"
Massage Rejuvenation,916-608-0868,"220 Blue Ravine Rd; Folsom, CA, 95630"
Synergy Spa Wellness Center,408-847-3148,"7995 Princevalle St #130; Gilroy, CA, 95020"
Bay Of Tampa Massage,813-602-1654,"4219 N Armenia Ave; Tampa, FL, 33607"
Capital Massage,571-313-0235,"45665 W Church Rd; Sterling, VA, 20164"
Blue Star Body Work,718-336-5361,"1421 Kings Highway  2nd Floor; Brooklyn, NY, 11229"
Sun Massage,224-795-1010,"297 N. Barrington Rd.; Streamwood, IL, 60107"
Health Foot Massage,206-860-0588,"1207 S Jackson St #102C; Seattle, WA, 98144"
Sun Spa,480-897-9977,"3016 N Dobson Rd #4; Chandler, AZ, 85224"
Vivi Spa,540-878-5169,"568 Waterloo Road Suite 100; Warrenton, VA, 20186"
Anna's Massage,916-824-1122,"2307 Sunset Blvd Ste 620; Rocklin, CA, 95765"
Wellcare Health Center,408-542-9968,"538 Lawrence Expressway; Sunnyvale, CA, 94085"
Red Massage,916-632-1888,"5050 Rocklin Rd #A-19; Rocklin, CA, 95677"
Best Massage,337-456-5286,"4652 Johnston St; Lafayette, LA, 70503"
GY Massage,217-546-7250 & 312-532-8000,"2655 W Lawrence Ave; Springfield, IL, 62704"
Aqua Spa,561-447-8840,"305 S Federal Hwy; Boca Raton, FL, 33432"
Zen Spa Bakersfield,661-588-8199,"4715 Coffee Rd, Suite B; Bakersfield, CA, 93312"
Red Mountain Massage,480-986-2240,"9124 E Main St; Mesa, AZ, 85207"
Rainbow Massage,337-326-9676,"4702 Johnston Street, Suite G; Lafayette, LA, 70503"
Oriental Massage Therapy,770-565-7878,"2635 Sandy Plains Rd; Marietta, GA, 30066"
Lucky Feet,818-340-4088,"4882 Topanga Canyon Blvd; Woodland Hills, CA, 91364"
Ya Ya Massage,224-415-5384,"4728 Oakton Street; Skokie, IL, 60076"
Massage By Angel,615-397-1689,"4982 C Lebanon Pike; Hermitage, TN, 37138"
Bamboo Creek Spa,805-299-5899,"1002 E Ojai Ave; Ojai, CA, 93023"
Zen Massage,405-285-5889,"3232 S Boulevard St; Edmond, OK, 73013"
R1 Reflexology Massage,623-842-9000,"6530 W Glendale Ave, Suite 104; Glendale, AZ, 85301"
Diamond Spa,337-456-3044,"1507 Kaliste Saloom Rd, Suite D; Lafayette, LA, 70508"
99 Massage,318-787-2658,"4738 Jackson St; Alexandria, LA, 71303"
Oriental Massage,616-243-8888,"2913 Breton Rd; Grand Rapids, MI, 49512"
Pleasant Day Spa,925-798-8886,"1625 Contra Costa Blvd; Pleasant Hill, CA, 94523"
Lux360,661-299-5711,"27215 Camp Plenty Rd; Santa Clarita, CA, 91351"
JJ Cosmetology Health Spa,415-681-3278,"3800 Noriega St; San Francisco, CA, 94122"
Li Chinese Massage,734-525-4141,"27508 Ford Rd; Garden City, MI, 48135"
LA Massage Skincare,626-286-9688,"316 S. San Gabriel Blvd.; San Gabriel, CA, 91776"
Bobo Massage,770-334-2655,"207 E Felton Rd, Suite 103; Cartersville, GA, 30121"
Oriental Massage,559-738-8688,"1300 S Mooney Blvd #6; Visalia, CA, 93291"
Massage Works,314-720-4410,"13035 Olive Blvd #218, St. Louis, MO 63141; St Louis, MO, 63141"
Katy Thai Massage,832-616-6666,"20087 Katy Fwy; Katy, TX, 77450"
My True Utopia Massage Spa,469-554-9828,"4230 LBJ Freeway Ste 235B; Dallas, TX, 75244"
Amazing Foot Reflexology,240-599-5188,"309 N Washington St; Rockville, MD, 20850"
Elk Grove Spa,916-691-5535,"8460 Elk Grove Blvd, #400; Elk Grove, CA, 95758"
Relax Spa,267-423-3422,"7530 haverford ave; Philadelphia, PA, 19151"
Asian Spa,949-829-1137,"22921 Triton Way Ste 125; Laguna Hills, CA, 92653"
Oriental Massage Spa,805-523-9155,"530 E Los Angeles Ave #104; Moorpark, CA, 93021"
Healing Touches By Amber,701-751-5010,"1501 N 12th St; Bismarck, ND, 58503"
650 Professional Therapy,732-246-2735,"650 Easton Ave; Somerset, NJ, 08873"
Beautiful Massage,951-808-8338,"1700 Hamner Ave 206; Norco, CA, 92860"
Refresh Day Spa,215-437-7618,"163 Byberry Rd; Philadelphia, PA, 19116"
My Massage Spa,860-799-5532,"135 Danbury Rd; New Milford, CT, 06776"
Serene Thai Massage,213-739-9990,"3959 Wilshire Blvd # B27; Los Angeles, CA, 90010"
The Men's Hair Salon And Spa,949-305-0600,"26731 Aliso Creek Rd, Suite 200; Aliso Viejo, CA, 92656"
Princess Beauty Spa,347-420-9135,"102-19 Roosevelt ave flr 2; Corona, NY, 11368"
Mulan Massage,734-619-6990,"970 E Michigan Ave; Saline, MI, 48187"
Imperial Massage Salon,941-927-4646,"4400 S Tamiami Trail; Sarasota, FL, 34231"
Body Healing Center,562-945-6040,"14233 Lambert Rd; Whittier, CA, 90605"
Merritt Massage,203-642-4150,"345 Main Ave.; Norwalk, CT, 06851"
Asian Royal Spa,847-808-0062,"2021 Milwaukee Ave; Buffalo Grove, IL, 60015"
Sufei Reflexology Massage,623-566-3335,"8160 W Union Hills Dr #B201; Glendale, AZ, 85308"
Massage And Skin Care,818-379-7079,"15147 Ventura Blvd; Sherman Oaks, CA, 91403"
Star Massage,619-691-6999,"1355 Broadway; Chula Vista, CA, 91911"
Jinrun Massage,724-519-2128,"1815 Golden Mile Hwy; Pittsburgh, PA, 15239"
Footloose Massage,541-686-4461,"35 W 8th Ave; Eugene, OR, 97401"
U Spa Massage,661-941-4480 or 661-945-2098,"659 W Avenue J; Lancaster, CA, 93534"
Sunflower Massage,916-934-1100,"7940 Folsom Aubum Rd; Folsom, CA, 95630"
Alibaba Foot Spa,626-288-1230,"8518 Valley Blvd; Rosemead, CA, 91770"
Art Oriental  Massage,305-541-1036,"801 NW 37th Ave #201; Miami, FL, 33125"
Muse Massage,406-203-8747,"101 E Broadway St; Missoula, MT, 59801"
Marico Massage,310-823-7705,"4280 Lincoln Blvd; Marina Del Rey, CA, 90292"
Rejuvenation Spa,614-505-6888,"5841 Karric Square Dr; Dublin, OH, 43016"
Little Rainbow Foot Massage,805-685-7858,"290 Storke Rd Ste B; Goleta, CA, 93117"
Blue Sea Day Spa,925-828-9995,"12131 Alcosta Blvd; San Ramon, CA, 94583"
Sunshine,314-270-8128,"12660 Lamplighter Square, Ste. K; St Louis, MO, 63128"
Panda Massage,916-817-6508 & 916-642-6413,"300 Glenn Dr, Suite B; Folsom, CA, 95630"
Massage Season,240-246-7936,"30 Bureau Dr; Gaithersburg, MD, 20878"
Jin Jin Foot Massage,425-582-7491,"800 164th St SE, #J; Mill Creek, WA, 98012"
Sunny Healthy Center,201-796-6888,"34-11 Broadway (Route 4 west); Fair Lawn, NJ, 07410"
Jasmine Spa,804-708-2946,"1587 Hockett Road; Manakin Sabot, VA, 23103"
Yu Spa,912-877-0488,"552 W Oglethorpe Hwy, Suite 104; Hinesville, GA, 31313"
Healing Faith Touch,615-631-3950,"231 veterans parkway; Murfreesboro, TN, 37129"
Rose Massage,562-881-3889,"3419 E. Anaheim St.; Long Beach, CA, 90804"
Oriental Oasis Massage,202-775-0440,"1090 Vermont Avenue Northwest; Washington DC, DC, 20005"
Lotus 123 Massage,561-826-6896,"123 E Palmetto Park Rd; Boca Raton, FL, 33432"
JG Spa,952-769-3955,"11995 County Rd 11, Suite 130; Burnsville, MN, 55337"
Relaxation Oasis,262-649-2200,"12660 W Capitol Dr; Brookfield, WI, 53005"
Verdure Massage,916-805-0888,"1835 Prairie City Rd.; Folsom, CA, 95630"
Sweet Temptations Spa,630-285-1111,"5N105 Route 53, Unit 5; Itasca, IL, 60143"
Royal Spa,803-736-3300,"110 NE Columbia Dr, G; Columbia, SC, 29223"
Tokyo Spa,225-412-7875,"8241 Summa Ave; Baton Rouge, LA, 70809"
Magic Hands II,412-788-1256,"7171 Steubenville Pike; Oakdale, PA, 15057"
Glance Salon & Spa,701-751-1893,"407 N 4th St; Bismarck, ND, 58501"
Asia's Massage,706-649-7722,"1660 Whittlesey Rd; Columbus, GA, 31904"
Palm Tree Foot Massage,714-839-1668,"10161 Bolsa Ave #105C; Westminster, CA, 92683"
Zen Spa,801-888-8842,"555 e 4500 s suite c100; Salt Lake City, UT, 84014"
Xin Shen Ti Massage,561-450-7142,"84 NE 5th Ave; Delray Beach, FL, 33483"
Cloud 9 Spa,650-590-0999,"2320 S Cabrillo Hwy; Half Moon Bay, CA, 94109"
Sunny Massage & Spa,916-900-4545,"5520 Watt Ave.; North Highlands, CA, 95660"
Massage Orient,904-551-2974,"11362 San Jose Blvd, Suite 14; Jacksonville, FL, 32223"
Skyline Asian Massage,804-858-3196,"10443 Midlothian Tpke, Ste J; Richmond, VA, 23236"
U-Spa,909-982-9888,"1225 W Foothill Blvd; Upland, CA, 91786"
Eric's Foot Spa,702-324-8979,"4155 S Buffalo Dr; Las Vegas, NV, 89147"
Asiami Massage,305-596-1188,"11610 N Kendall Dr; Miami, FL, 33176"
New Age Massage,708-888-0299,"17040 Oak Park Ave; Tinley Park, IL, 60477"
Maple Massage,949-768-5888,"25542 Jeronimo Rd. #4; Mission Viejo, CA, 92691"
Oak,515-441-9929,"6401 Douglas Ave; Urbandale, IA, 50322"
Empress Massage,678-847-0307,"1820 North Brown Rd Ste 20; Lawrenceville, GA, 30043"
Positive Energy Massage,858-259-5953,"530 Lomas Santa Fe Dr #6; Solana Beach, CA, 92075"
Lotus Massage,678-888-8588,"3940 Peachtree Industrial Blvd; Duluth, GA, 30096"
Happy Lily Foot Massage,714-531-2692,"10485 Bolsa Ave; Westminster, CA, 92683"
SP Asian Therapy Spa,626-441-6282,"1008-1/2 Fair Oaks Ave; South Pasadena, CA, 91030"
Spring Foot Massage,909-399-5751,"934 W Foothill Blvd; Claremont, CA, 91711"
Asian Spa,276-696-4190,"601 Commonwealth Ave #2; Bristol, VA, 24201"
Lucky Massage,805-389-1999,"596 Mobil Ave; Camarillo, CA, 93010"
Oasis Massage Spa,203-292-8865,"222 Post Rd; Fairfield, CT, 06824"
Wellness Massage,678-688-4713,"125 Ernest W Barrett Parkway, Unit #110; Marietta, GA, 30066"
HM Facial & Foot Massage,510-286-2266,"3734 Grand Ave; Oakland, CA, 94610"
Canon Spa,913-732-2978,"1500 E Kansas City rd; Olathe, KS, 66061"
Best Asian Massage,850-424-7970,"829 Harbor Blvd #21; Destin, FL, 32541"
Acupressure & Qi Gong Massage Therapy,510-558-8116,"10548 San Pablo Ave; El Cerrito, CA, 94530"
Best Ross Wellness Massage Center,419-626-8888,"132 W Perkins Ave.; Sandusky, OH, 44870"
Wellness Center,856-345-4569,"203 Kings Highway East, 2nd Floor; Haddonfield, NJ, 08033"
Foot Palace,972-355-6333,"1901 Long Prairie rd # 120; Flower Mound, TX, 75022"
Blue Bay Massage,626-202-6449,"938 N 200th St; Shoreline, WA, 98177"
Aming's Massage Therapy,412-319-7530,"1190 Washington Pike; Bridgeville, PA, 15017"
Happy Health Spa,707-591-8899,"525 Ross St; Santa Rosa, CA, 95401"
Lotus Foot Massage,650-969-6288,"127 E El Camino Real; Mountain View, CA, 94040"
Ginger Foot Spa,626-689-6998,"188 E Garvey Ave, Suite B; Monterey Park, CA, 91775"
Lily Asian Massage,509-315-8629,"11516 E Sprague Ave #A; Spokane Valley, WA, 99206"
Body Zen,617-484-1788,"238 Trapelo Rd.; Belmont, MA, 02478"
Zhang's Relaxation Centre,412-956-7919,"5899 Ellsworth Avenue; Pittsburgh, PA, 15232"
Aloha Therapy,206-331-7287,"879 Rainier Ave N Suite A201; Renton, WA, 98055"
Queen Spa,309-283-7096,"3416 46th avenue.; Rock Island, IL, 61201"
Phoenix Massage,402-991-6880,"14508 W Center Rd; Omaha, NE, 68144"
Prairie Sun Massage,608-698-2530,"804 Windsor St; Sun Prairie, WI, 53590"
Lin's Foot Spa,317-440-5746,"11595 Allisonville Rd; Fishers, IN, 46038"
Relax Foot Massage,562-925-1999,"17020 Bellflower Blvd; Bellflower, CA, 90706"
L And R Wellness Center,650-557-2286,"39 San Mateo Drive; San Mateo, CA, 94401"
Liu Therapeutic Massage,763-786-4163,"9201 Lexington Ave N; Circle Pines, MN, 55014"
Paradise Spa,515-277-7645,"130 5th st; West Des Moines, IA, 50265"
Yan's Massage,720-317-0574,"5039 S Federal Blvd Unit #5; Englewood, CO, 80110"
Shanghai Massage Therapy,316-871-6040,"2708 E Central Ave; Wichita, KS, 67214"
Oriental Massage,701-739-2335,"910 S Washington St; Grand Forks, ND, 58201"
Lotus Massage & Spa,503-984-9048,"14011 SE Division St, Suite B; Portland, OR, 97236"
Oriental Spa,305-957-8982,"1191 NE 163rd St; North Miami Beach, FL, 33162"
Green Massage,931-920-1888,"2277 Wilma Rudolph Blvd; Clarksville, TN, 37042"
Pressure Point Massage Therapy,248-358-8800,"26321 West Twelve Mile Road; Southfield, MI, 48034"
Amy's Body Works And Chinese Wellness,412-373-0888,"4417 Old William Penn Hwy.; Monroeville, PA, 15146"
Olga's Therapeutic Massage,612-986-1207,"6950 France Ave S Suite #10 (lowest level); Edina, MN, 55435"
Style Massage,505-275-6889,"12925 Central Ave NE, Suite N; Albuquerque, NM, 87123"
Oriental Massage,540-342-5888,"3623 Franklin Rd; Roanoke, VA, 24014"
Foot & Body Massage Center,916-728-1177,"7700 Sunrise Blvd, Suite 1700; Citrus Heights, CA, 95610"
Dream Massage,818-396-0680,"400 S Glendale Ave, Unit O; Glendale, CA, 91205"
Chan Massage,952-974-0888,"570 W 78th St; Chanhassen, MN, 55317"
Green Spa,978-777-0989,"39 Maple St; Danvers, MA, 01923"
Leela Spa,818-599-3758,"5904 W. Sunset Blvd.; Los Angeles, CA, 90028"
Tiger Massage,405-792-2277,"7829 W Hefner Rd #G; Oklahoma City, OK, 73162"
Fair Oaks Massage Therapy,916-944-4909,"7703 Fair Oaks Blvd; Carmichael, CA, 95608"
Dream Asian Massage,651-484-9804,"2334 Lexington Ave N; Roseville, MN, 55113"
Asian Body Work,978-975-2428,"209 Broadway; Methuen, MA, 01844"
ID Massage Center,925-327-0858,"12903 Alcosta Blvd, Suite 2B; San Ramon, CA, 95583"
Zen Massage,714-916-6302,"11770 Warner Avenue #205 (2nd Floor); Fountain Valley, CA, 92708"
Foot And Body Massage,978-783-3900,"2 Stevens St; Andover, MA, 01810"
DDS Health Hall,470-210-7286,"1825 Liddell Ln Ste B; Duluth, GA, 30096"
Jo-Jo's Massage Therapy,678-388-8650,"9550 Main St, Suite 110; Woodstock, GA, 30188"
Happy Foot Massage,253-582-2025,"10100 Bridgeport Way SW; Lakewood, WA, 98499"
Cozy Massage,678-696-5987,"3709 Winder HWY; Flowery Branch, GA, 30542"
Elite Asian Massage,404-242-9649,"2131 Pleasant Hill RD Suite 145; Duluth, GA, 30096"
Heavenly Soaking Massage,626-968-0022,"3148 Colima Rd.; Hacienda Heights, CA, 91745"
Mengmei Spa,919-265-8835,"167  NC 111 Hwy S; Goldsboro, NC, 27534"
Soothing Ocean,818-700-2866,"9669 Reseda Blvd; Northridge, CA, 91324"
Rainbow Health Center,617-859-5858,"36 Gloucester St, 2nd Floor; Boston, MA, 02216"
Thai Body Works,310-742-7345,"4429 Torrance Blvd; Torrance, CA, 90503"
Blue Sky Spa,480-899-1428,"2390 N Alma School Rd, Suite 113; Chandler, AZ, 85224"
Massage 18,626-548-1093,"4780 Peck Rd; El Monte, CA, 91732"
W Massage,470-375-4189,"5025 Winters Chapel Rd, Suite K; Atlanta, GA, 30360"
Elegant Relax,513-667-7707,"9477 Loveland Madeira Rd; Cincinnati, OH, 45242"
Crest Spaahh,615-988-2163,"2210 Crestmoor Rd, Suite 7; Nashville, TN, 37215"
Shiatsu Center,949-458-1982,"22641 Lake Forest Drive #B3; Lake Forest, CA, 92630"
Tao Massage,205-980-4470,"476 Cahaba Park Cir; Birmingham, AL, 35242"
Chinese Power Massage,510-835-0158,"320 10th St, Ste 307; Oakland, CA, 94607"
Therapy Heaven,916-536-9565,"5372 Sunrise Blvd; Fair Oaks, CA, 95628"
Lucky Massage,562-920-5888,"15522 Lakewood Blvd; Bellflower, CA, 90706"
Sister Massage,916-771-0333,"4010 Foothills Blvd #106; Roseville, CA, 95747"
Opal Massage,206-327-0322,"12811 8th Ave W # B-101; Everett, WA, 98204"
Comfort Relax Spa,570-666-7092,"440 Broad St; Montoursville, PA, 17754"
U Relax Massage,904-363-0333,"9810 Baymeadows Rd; Jacksonville, FL, 32256"
Massage Angel,770-695-6079,"11060 Alpharetta Hwy #114; Roswell, GA, 30076"
Golden Sand Massage,704-868-5858 & 704-862-6828,"365 N New Hope Rd #147; Gastonia, NC, 28054"
Sole Relax,425-242-0140,"11811 98th Ave NE; Kirkland, WA, 98034"
Number One Choice,801-900-7478,"544 West 4500 South; Murray, UT, 84123"
Ruby's Spa,609-481-8856,"3101 Black Horse Pike; Sicklerville, NJ, 08081"
H Massage,281-491-4240,"3314 HWY6; Sugar Land, TX, 77478"
Mai's Wellness Center,714-230-9202,"8840 Warner Ave #100; Fountain Valley, CA, 92708"
Cherry Massage,952-479-7868,"14600 10th Ave S; Burnsville, MN, 55337"
Royal Thai Massage,951-276-7175,"1735 Spruce St. Suite E; Riverside, CA, 92507"
T SALON & SPA,949-426-9218,"8193 Bolsa Ave; Midway City, CA, 92655"
Massage Inspire,770-575-0450,"2745 Sandy Plains Rd; Marietta, GA, 30066"
Green Life Spa,610-280-9888,"128 Exton Square Mall #1294; Exton, PA, 19341"
Forest Massage,626-235-7701,"329 H St; Bakersfield, CA, 93304"
Asian Massage,805-379-5988,"595 E Thousand Oaks Blvd; Thousand Oaks, CA, 91360"
Body Fusion Thai Massage,559-925-8879,"311 Heinlen St; Lemoore, CA, 93245"
T&P Foot Massage,253-531-1111,"11601 Canyon Rd E #105; Puyallup, WA, 98373"
Sunny Day Spa,850-380-3043,"4806 Mobile Hwy, Suite E; Pensacola, FL, 32506"
Li Yin Chinese Massage,724-282-9908,"1803 N Main St Ste C; Butler, PA, 16001"
Healthy Foot Spa,281-980-8080,"3683 Highway 6 South; Sugar Land, TX, 77478"
Emperor Leisure Day Spa,626-872-0550,"302-304 E Las Tunas Dr; San Gabriel, CA, 91776"
Millenium Health Care,951-688-8733,"10600 Magnolia Ave #D; Riverside, CA, 92505"
Nirvana Asian Massage,253-359-8681,"4500 Pacific Hwy E.; Fife, WA, 98424"
Thorough Relax Foot Massage,818-883-2812,"22812 Victory Blvd; Woodland Hills, CA, 91367"
Asian Health Massage Therapy,717-666-5355,"721 N Duke St Ste A; Lancaster, PA, 17602"
Sakura Day Spa,305-663-7168,"8293 S Dixie Hwy; Miami, FL, 33143"
Zen Massage,913-764-0000,"13628 S Blackbob Rd; Olathe, KS, 66062"
Grace Spa,717-541-1800,"2271 Paxton Church Rd; Harrisburg, PA, 17110"
Senses Spa,626-287-5788,"1051 S San Gabriel Blvd; San Gabriel, CA, 91776"
Q Foot Massage,713-568-3669,"1435 S Wirt Rd; Houston, TX, 77055"
Health Day Spa,857-250-4130,"37 Stillman St; Boston, MA, 02113"
Eastern Spa Massage,760-722-2668,"2216 El Camino Real #201; Oceanside, CA, 92054"
Willow Acupressure,859-878-8563,"225 Main Street Suite G; Florence, KY, 41042"
My Massage Place,720-432-8885,"7733 W 92nd Ave; Westminster, CO, 80021"
Friends Day Spa,925-875-9693,"7135 Dublin Blvd.; Dublin, CA, 94568"
Dream Massage,661-588-7008,"7800 Meany Ave # A; Bakersfield, CA, 93308"
Eutopia Massage & Spa,703-273-3259,"10875 Main St #114; Fairfax, VA, 22030"
A New Life Spa,773-880-0858,"1144 W Diversey Pkwy; Chicago, IL, 60614"
Candle Spa,818-821-1332,"11390 Ventura Blvd. #6A; Studio City, CA, 91604"
Top Thai Massage,818-508-5462,"4344 Laurel Canyon Blvd #10; Studio City, CA, 91604"
Points Massage Wellness Studio,908-301-0326,"715 Central Ave #1; Westfield, NJ, 07090"
Da Zheng Foot Spa,425-775-9619,"22511 Hwy 99 #110; Edmonds, WA, 98026"
Bliss Bodywork,307-690-0497,"270 Veronica Ln; Jackson, WY, 83001"
Royale Massage Day Spas,832-287-8233,"3677 highway 6 south.; Sugar Land, TX, 77478"
Ocean Blue Medical Massage And Spa,505-883-1212,"5555 Montgomery Blvd NE #12; Albuquerque, NM, 87109"
Adora Day Spa,307-773-8520,"123 Western Hills Blvd; Cheyenne, WY, 82009"
Tantra - Expansion To Bliss,410-598-1010,"Check website; Annapolis, MD,"
Taiji Massage Therapy,210-861-5595,"15134 N San Pedro Ave; San Antonio, TX, 78232"
Keeping Healthy,252-321-7773,"714 SE Greenville Blvd #G12; Greenville, NC, 27858"
Nippon Shiatsu Spa,714-995-6936,"3024 W Ball Rd # D; Anaheim, CA, 92804"
Jade Massage Therapy,781-396-3888,"18 Main St; Medford, MA, 02155"
Amazing Massage Of Louisville,770-396-6611,"4511 Chamblee Dunwoody Rd. C2; Dunwoody, GA, 30338"
Â Chinese Therapeutic Massage,802-251-0579,"41 Main St; Brattleboro, VT, 05301"
Alice Spa,617-625-3366,"258 Elm St; Somerville, MA, 02144"
Amma Massage Therapy,301-523-9090,"4928 Saint Elmo Ave, Suite 202; Bethesda, MD, 20814-8006"
Oak Massage,818-551-0811,"1117 S Glendale Ave; Glendale, CA, 91205"
Sunshine Wellness,608-421-2079,"123 King St, Suite B; Sun Prairie, WI, 53590"
Imperial Foot Massage,360-438-3889,"7837 Martin Way E #108; Lacey, WA, 98516"
Fung Soong,415-288-3968,"651 Kearny St; San Francisco, CA, 94108"
Touch Massage,310-659-8559,"822 S Robertson Blvd, Ste 106; Los Angeles, CA, 90035"
Lake Massage,310-263-0588,"15335 Hawthorne Blvd; Lawndale, CA, 90260"
Foot Acupressure,205-978-0008,"1676 Montgomery Hwy, Suite C; Hoover, AL, 35216"
Green Tea Spa,610-269-1979,"123 Lancaster Ave; Downingtown, PA, 19335"
Cbeyond Massage,714-963-1206,"9842 Adams Ave, Ste 102; Huntington Beach, CA, 92646"
Annie's Day Spa,806-352-4505,"3318 S Georgia St, Suite 2710; Amarillo, TX, 79109"
Zen Spa,909-538-9187,"2276 Foothill Blvd; La Verne, CA, 91750"
Art Nails And Massage,574-537-8778,"324 Middleberry St; Goshen, IN, 46528"
Oriental Massage Spa,757-338-8000,"1414 N Battlefield Blvd; Chesapeake, VA, 23320"
Elin Spa,832-571-3088,"5200 FM 2920 Rd Ste 170; Spring, TX, 77388"
Body Kneads Day Spa,650-852-0546,"810 San Antonio Rd; Palo Alto, CA, 94303"
Rainbow Spa Massage,760-630-4358,"913 E Vista Way; Vista, CA, 92084"
Relax Massage,412-308-5540 & 412-548-3710,"3348 Babcock Blvd; Pittsburgh, PA, 15237"
Anna's Beauty Spa,818-249-2507,"3136 Foothill Blvd, Suite 6; La Crescenta, CA, 91214"
Great Wall Foot Spa,413-629-8623,"5 Newell Street; Pittsfield, MA, 01201"
Oriental Massage,678-380-8885,"3865 Lawrenceville Hwy; Lawrenceville, GA, 30044"
Asian 888,412-349-8628,"1744 Greensburg Pike; North Versailles, PA, 15137"
Moonlight Spa,201-683-7727,"722 Washington St; Hoboken, NJ, 07030"
Chan Bodywork & Reflexology,859-817-0440,"8109 Connector Dr; Florence, KY, 41042"
Best Foot Spa,619-588-1066,"700 N Johnson Ave #C; El Cajon, CA, 92020"
Zen Spa,732-596-1110,"250 Woodbridge Ctr Dr; Woodbridge, NJ, 07095"
Asian Massage Therapy,717-545-2988,"1015 N Mountain Rd; Linglestown, PA, 17112"
Asian Massage,570-505-2301,"801 W 3rd St; Williamsport, PA, 17701"
Asian Massage Spa,757-927-9363,"12638 Jefferson Ave, Ste 3; Newport News, VA, 23606"
Signature Spa,714-288-8885,"1500 E Katella Ave, Ste F; Orange, CA, 92867"
Deng Asian Massage,763-434-5018,"17600 Hwy 65 NE UNIT2; Ham Lake, MN, 55304"
Azusa Foot Massage,626-335-5510,"1173 East Alosta #B; Azusa, CA, 91702"
Massage 130,732-940-9777,"2200 US 130; North Brunswick, NJ, 08902"
Heng Oriental Massage,763-767-6311,"1250 126th Ave NE Suite 500; Blaine, MN, 55434"
Amador Spa,925-803-1288,"7660 Amador Valley Blvd, Ste A; Dublin, CA, 94568"
Two Sisters Massage Therapy,727-738-4782,"2109 SR 580, Suite C; Dunedin, FL, 34698"
Center Of Life,916-484-7429,"3430 Balmoral Dr, Suite 8; Sacramento, CA, 95821"
Xi Wen (May's Massage Therapy),770-234-9595,"4763 Buford Highway, Suite 103; Chamblee, GA, 30341"
Beijing Spa & Massage,702-369-7100,"6160 W Spring Mountain Rd; Las Vegas, NV, 89146"
Hilltop Massage Therapy,757-422-1888,"1408 N Great Neck Rd #104; Virginia Beach, VA, 23454"
Perfect Foot Massage,415-682-7868,"723 Taraval St; San Francisco, CA, 94116"
MRS Massage Relief Station,559-451-0308,"1055 E Herndon Ave; Fresno, CA, 93720"
Asian Massage,816-785-1248,"829 E North Ave; Belton, MO, 64012"
Magic Touch Massage,802-557-7303,"177 Church St, 2 Floor; Burlington, VT, 05401"
Chiang Rai Thai Massage,510-675-9248,"32230 Alvarado Blvd; Union City, CA, 94587"
Diamond Spa,425-974-1141,"2225 140th Ave NE; Bellevue, WA, 98005"
Chinese Tunia Massage,425-954-6428,"1811 156th Ave NE, A-1; Bellevue, WA, 98007"
Golden Hands Spa,973-232-6128,"901 Mountain Ave #16B; Springfield, NJ, 07081"
Body & Soul Massage,605-695-2589,"406 4th Street; Brookings, SD, 57006"
Massage Spa,951-785-5828,"10759 Magnolia Ave #F; Riverside, CA, 92505"
Face And Body Massage,480-991-3000,"10305 N Scottsdale Rd; Scottsdale, AZ, 85258"
Caroline Darwin CMT,307-760-2444,"1050 N 3rd St; Laramie, WY, 82070"
Olivia's Salon,308-234-5593,"2025 Central Ave; Kearney, NE, 68847"
Serenity Day Spa,603-669-5593,"530 Chestnut St; Manchester, NH, 03101"
Serenity Foot Massage,714-485-2687,"18432 Yorba Linda Blvd, Suite C; Yorba Linda, CA, 92886"
Oriental Foot Spa,559-688-1218,"1059 E Prosperity Ave; Tulare, CA, 93274"
Heaven Spa,818-225-8068,"22776 Ventura Blvd; Woodland Hills, CA, 91364"
Great Massage,470-375-6172,"11890 Douglas Road; Alpharetta, GA, 30005"
Thai Massage,818-785-3737,"7203 Balboa Blvd; Van Nuys, CA, 91406"
Massage Therapy,323-936-1309,"5324 Wilshire Blvd; Los Angeles, CA, 90036"
Serenity Acupuncture,708-848-4626,"503 Madison St; Oak Park, IL, 60302"
The Stress Management Center Of Marin,415-461-2288,"1165 Magnolia Ave; Larkspur, CA, 94939"
Massage Therapy Kirby,901-737-3320,"1817 Kirby Pkwy #5; Memphis, TN, 38120"
North China Massage,970-229-1977,"1119 W Drake Rd #C-32; Fort Collins, CO, 80526"
Massage Studio,586-949-0454,"47097 Gratiot Ave; Chesterfield, MI, 48051"
Best Chinese Qi Gong Massage,718-932-1282,"32-41 Steinway St., 2nd floor; Astoria, NY, 11103"
